Agudo,"0,46"
Alegrete,"0,42"
Alvorada,"0,38"
Amaral Ferrador,"0,60"
Antônio Prado,"0,32"
Arambaré,"0,53"
Araricá,"0,36"
Arroio do Meio,"0,36"
Arroio do Sal,"0,43"
Arroio do Tigre,"0,49"
Arroio dos Ratos,"0,40"
Arroio Grande,"0,46"
Arvorezinha,"0,44"
Augusto Pestana,"0,29"
Bagé,"0,36"
Balneário Pinhal,"0,47"
Barão,"0,28"
Barão do Triunfo,"0,41"
Barra do Ribeiro,"0,37"
Bento Gonçalves,"0,31"
Bom Jesus,"0,37"
Bom Princípio,"0,29"
Bom Retiro do Sul,"0,41"
Brochier,"0,17"
Butiá,"0,37"
Caçapava do Sul,"0,41"
Cacequi,"0,46"
Cachoeira do Sul,"0,38"
Cachoeirinha,"0,36"
Camaquã,"0,34"
Cambará do Sul,"0,44"
Campina das Missões,"0,48"
Campo Bom,"0,34"
Candelária,"0,38"
Candiota,"0,37"
Canela,"0,38"
Canguçu,"0,38"
Canoas,"0,37"
Capão da Canoa,"0,37"
Capão do Leão,"0,44"
Capela de Santana,"0,33"
Capivari do Sul,"0,30"
Caraá,"0,52"
Carazinho,"0,36"
Carlos Barbosa,"0,32"
Casca,"0,25"
Catuípe,"0,30"
Caxias do Sul,"0,34"
Cerrito,"0,40"
Cerro Grande do Sul,"0,39"
Cerro Largo,"0,30"
Chapada,"0,32"
Charqueadas,"0,37"
Cidreira,"0,49"
Constantina,"0,38"
Coronel Bicaco,"0,55"
Crissiumal,"0,42"
Cristal,"0,42"
Cruz Alta,"0,36"
Cruzeiro do Sul,"0,32"
Dois Irmãos,"0,32"
Dom Feliciano,"0,40"
Dom Pedrito,"0,37"
Eldorado do Sul,"0,40"
Encantado,"0,33"
Encruzilhada do Sul,"0,39"
Entre-Ijuís,"0,40"
Erechim,"0,35"
Espumoso,"0,38"
Estância Velha,"0,33"
Esteio,"0,37"
Estrela,"0,35"
Farroupilha,"0,34"
Faxinal do Soturno,"0,31"
Feliz,"0,32"
Flores da Cunha,"0,34"
Frederico Westphalen,"0,34"
Garibaldi,"0,34"
General Câmara,"0,50"
Getúlio Vargas,"0,31"
Giruá,"0,38"
Glorinha,"0,37"
Gramado,"0,37"
Gravataí,"0,36"
Guaíba,"0,37"
Guaporé,"0,32"
Guarani das Missões,"0,43"
Harmonia,"0,25"
Herval,"0,31"
Horizontina,"0,34"
Ibirubá,"0,33"
Igrejinha,"0,35"
Ijuí,"0,35"
Ilópolis,"0,35"
Imbé,"0,38"
Itaara,"0,37"
Itaqui,"0,35"
Ivoti,"0,32"
Jaguarão,"0,42"
Jaguari,"0,44"
Júlio de Castilhos,"0,41"
Lagoa Vermelha,"0,35"
Lajeado,"0,33"
Lavras do Sul,"0,43"
Lindolfo Collor,"0,29"
Manoel Viana,"0,40"
Maquiné,"0,41"
Marau,"0,34"
Mariana Pimentel,"0,38"
Minas do Leão,"0,37"
Montenegro,"0,35"
Morro Redondo,"0,51"
Morro Reuter,"0,30"
Mostardas,"0,47"
Não-Me-Toque,"0,37"
Nonoai,"0,33"
Nova Araçá,"0,33"
Nova Bassano,"0,27"
Nova Hartz,"0,32"
Nova Petrópolis,"0,42"
Nova Prata,"0,27"
Nova Santa Rita,"0,36"
Novo Hamburgo,"0,35"
Osório,"0,38"
Palmares do Sul,"0,44"
Palmeira das Missões,"0,30"
Panambi,"0,35"
Pantano Grande,"0,36"
Pareci Novo,"0,36"
Parobé,"0,34"
Passo Fundo,"0,39"
Paverama,"0,46"
Pedro Osório,"0,38"
Pelotas,"0,49"
Picada Café,"0,34"
Pinheiro Machado,"0,41"
Piratini,"0,38"
Planalto,"0,34"
Portão,"0,32"
Porto Alegre,"0,42"
Porto Xavier,"0,26"
Presidente Lucena,"0,23"
Quaraí,"0,39"
Restinga Sêca,"0,42"
Rio Grande,"0,43"
Rio Pardo,"0,38"
Riozinho,"0,43"
Roca Sales,"0,31"
Rodeio Bonito,"0,30"
Rolante,"0,36"
Ronda Alta,"0,34"
Rosário do Sul,"0,43"
Salto do Jacuí,"0,36"
Salvador do Sul,"0,42"
Sananduva,"0,34"
Santa Bárbara do Sul,"0,40"
Santa Clara do Sul,"0,41"
Santa Cruz do Sul,"0,34"
Santa Maria,"0,38"
Santa Maria do Herval,"0,37"
Santa Rosa,"0,30"
Santa Vitória do Palmar,"0,40"
Santana do Livramento,"0,37"
Santiago,"0,36"
Santo Ângelo,"0,34"
Santo Antônio da Patrulha,"0,30"
Santo Antônio das Missões,"0,33"
Santo Augusto,"0,29"
Santo Cristo,"0,32"
São Borja,"0,39"
São Francisco de Assis,"0,37"
São Francisco de Paula,"0,41"
São Gabriel,"0,44"
São Jerônimo,"0,43"
São José do Hortêncio,"0,32"
São José do Norte,"0,37"
São Leopoldo,"0,36"
São Lourenço do Sul,"0,41"
São Luiz Gonzaga,"0,36"
São Marcos,"0,34"
São Pedro do Sul,"0,33"
São Sebastião do Caí,"0,35"
São Sepé,"0,30"
São Vicente do Sul,"0,35"
Sapiranga,"0,34"
Sapucaia do Sul,"0,36"
Sarandi,"0,32"
Seberi,"0,37"
Serafina Corrêa,"0,31"
Sertão Santana,"0,38"
